userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
rjeayesr,conglomeration,OH,concord carlisle high school,concord,MA,3.5,2023,Mathematics,Psychology,557,282,16,1,26,5,4,472,597,201,557,210,623,562,591,648,1
cswords,tertiary,FL,coppell high school,coppell,TX,2.94,2022,Biology,Psychology,523,414,4,33,6,32,10,447,686,387,489,559,609,259,736,617,6
vtrindert,actuating,KY,crystal lake central high school,crystal lake,IL,3.13,2025,Computer Science,Psychology,245,654,12,31,4,11,29,574,526,387,549,702,487,246,400,503,2
bfassonu,array,FL,dougherty valley high school,san ramon,CA,2.91,2022,Mathematics,Sociology,431,435,7,18,19,21,12,667,529,375,790,273,287,519,665,236,5
qwilbyv,ability,GA,eagan senior high school,eagan,MN,3.39,2026,English,Computer Engineering,525,510,18,14,24,31,8,750,352,457,310,649,363,570,537,767,2
nweardenw,structure,OH,east chapel hill high school,chapel hill,NC,3.82,2024,Mathematics,Creative Writing,255,693,17,17,25,26,11,665,342,611,720,623,531,693,419,638,5
mnoorwoodx,productivity,GA,elsik high school,houston,TX,3.06,2025,Mathematics,Creative Writing,562,719,21,9,4,2,5,491,270,344,698,601,289,594,755,218,6
cdurbyny,Customizable,FL,fairfield high school,fairfield,TX,2.58,2026,English,Computer Engineering,645,396,31,20,34,2,20,309,266,397,475,667,775,586,290,346,5
acristofoloz,toolset,OH,fairview high school,boulder,CO,3.19,2023,Spanish,Creative Writing,259,385,15,21,20,16,35,509,591,568,287,490,644,780,662,715,1
bhugle10,value-added,OH,flowery branch high school,flowery branch,GA,3.73,2022,Biology,Computer Engineering,455,365,14,24,8,2,23,397,454,681,550,776,678,447,666,417,1
mbeart11,Horizontal,PA,fox chapel area high school,pittsburgh,PA,2.02,2026,Computer Science,Psychology,662,738,17,27,26,32,18,577,771,562,582,412,676,564,273,211,10
hclaesens12,framework,VA,glenbrook south high school,glenview,IL,3.16,2026,Spanish,Sociology,499,416,36,22,7,3,21,504,235,609,540,535,344,258,356,614,10
bscoggans13,User-centric,TX,glendale high school,glendale,AZ,2.01,2023,English,Creative Writing,733,383,3,7,34,11,26,626,537,579,329,430,436,476,318,735,5
nsaville14,multi-tasking,CA,goffstown high school,goffstown,NH,2.66,2026,Spanish,Creative Writing,643,280,34,20,30,29,23,615,224,438,435,543,716,320,416,688,0
sjozefowicz15,Ameliorated,IL,granada hills charter high school,granada hills,CA,3.13,2025,English,Creative Writing,769,372,18,24,14,22,7,586,275,561,265,633,606,463,717,366,5
nleinthall16,content-based,TX,haas hall academy,fayetteville,AR,3.46,2026,Biology,Creative Writing,470,411,31,9,5,24,11,412,693,407,262,783,410,580,734,468,6
amallebone17,paradigm,AZ,hanover high school,hanover,NH,3.74,2024,Computer Science,Sociology,754,531,17,2,29,9,18,788,286,222,774,787,451,632,353,331,0
kerrey18,Pre-emptive,MN,harriton senior high school,rosemont,PA,3.2,2023,Spanish,Creative Writing,328,226,31,16,1,31,19,733,226,378,439,495,243,274,678,554,10
scoast19,optimizing,VA,health careers high school,san antonio,TX,2.61,2022,Spanish,Creative Writing,766,605,1,3,25,12,19,439,456,329,262,774,626,680,206,616,7
atreslove1a,systemic,MN,highland park high school,highland park,IL,3.52,2025,Mathematics,Psychology,264,576,19,27,12,17,25,324,228,749,313,439,280,737,707,389,2
fberford1b,Upgradable,FL,hinsdale central high school,hinsdale,IL,2.16,2022,Spanish,Creative Writing,744,274,8,27,30,10,23,475,592,338,460,350,718,565,431,229,10
hsydney1c,Horizontal,MO,hopkinton high school,hopkinton,MA,2.9,2023,Spanish,Creative Writing,760,779,19,18,23,20,13,611,698,213,647,201,746,228,587,638,7
tbiesterfeld1d,benchmark,FL,huron high school,ann arbor,MI,3.9,2023,Computer Science,Computer Engineering,288,397,28,7,33,7,21,263,533,632,725,385,702,691,207,712,9
sblackly1e,functionalities,DC,illinois mathematics and science academy,aurora,IL,3.5,2022,English,Creative Writing,583,204,23,7,9,34,20,796,375,760,683,382,337,282,314,791,9
kizen1f,Seamless,NC,international academy,bloomfield hills,MI,3.5,2024,Biology,Computer Engineering,661,636,16,1,34,26,3,522,476,395,705,440,462,585,528,758,4
hdankov1g,Cross-platform,NV,island trees high school,levittown,NY,2.25,2022,Mathematics,Computer Engineering,470,498,36,19,25,13,14,280,772,590,382,246,242,425,551,317,7
ostirland1h,Networked,CA,james madison high school,vienna,VA,2.18,2023,Spanish,Creative Writing,231,253,25,27,6,12,2,292,273,279,510,311,679,754,405,731,4
ujovanovic1i,Horizontal,WV,jp stevens high school,edison,NJ,2.47,2023,Mathematics,Sociology,557,587,28,25,15,35,24,637,572,350,743,453,558,601,637,486,3
mfidelus1j,stable,TX,lake city high school lake,lake city,MI,2.76,2023,English,Creative Writing,204,471,27,6,22,5,36,586,256,546,688,577,332,705,215,413,10
lcasswell1k,fresh-thinking,MS,lawrence free state high school,lawrence,KS,3.3,2025,Spanish,Computer Engineering,557,637,5,22,6,7,31,475,734,518,303,419,615,527,452,793,5
gcorkan1l,Expanded,FL,lexington high school,lexington,MA,3.88,2023,Biology,Creative Writing,281,755,24,19,11,5,26,231,719,308,536,316,756,657,311,612,7
fchaplyn1m,Monitored,OH,libertyville high school,libertyville,IL,2.69,2022,Spanish,Creative Writing,426,261,10,33,8,9,20,636,736,463,364,800,692,375,238,741,9
abladen1n,Multi-lateral,KS,lovejoy high school,lucas,TX,3.09,2022,Biology,Creative Writing,422,351,16,16,15,5,31,575,716,530,564,233,556,577,710,717,1
lwarburton1o,extranet,CA,madeira high school,cincinnati,OH,3.25,2022,Biology,Sociology,752,585,13,23,35,31,20,647,712,792,252,597,623,282,797,377,10
jtidd1p,Multi-tiered,FL,mamaroneck high school,mamaroneck,NY,2.02,2026,English,Psychology,718,341,16,30,3,6,20,752,725,316,485,757,285,434,393,263,10
cguite1q,Monitored,MO,mclean high school,mclean,VA,3.88,2022,Computer Science,Sociology,596,264,31,14,1,2,7,291,417,212,461,694,511,320,200,542,4
hdone1r,Universal,TX,memorial high school,houston,TX,2.58,2022,English,Computer Engineering,657,677,7,34,35,3,19,258,331,397,255,420,589,626,458,245,1
hdrage1s,Sharable,FL,mira costa high school,manhattan beach,CA,2.16,2026,Computer Science,Creative Writing,295,524,30,16,28,7,8,263,293,234,744,523,371,447,547,674,8
cmatthewes1t,firmware,KS,mountain lakes high school,mountain lakes,NJ,2.96,2023,Computer Science,Psychology,283,629,3,12,12,19,35,461,767,343,236,639,545,615,566,243,9
bmaccumiskey1u,radical,FL,mt brook high school,mountain brook,AL,3.06,2022,Computer Science,Computer Engineering,733,731,27,36,21,8,7,238,411,226,332,707,586,216,618,345,0
jmarushak1v,Re-engineered,CA,naperville central high school,naperville,IL,2.61,2023,Spanish,Sociology,465,638,34,9,23,29,16,637,343,655,708,609,653,741,274,684,3
dpotteridge1w,User-centric,OH,neuqua valley high school,naperville,IL,3.37,2023,Biology,Psychology,225,714,5,15,25,8,5,415,242,341,367,410,632,418,533,395,10
lroelofs1x,neutral,CO,new trier township high school,winnetka,IL,3.91,2026,English,Psychology,799,410,22,19,18,13,7,623,568,566,574,256,595,427,628,705,2
ktapner1y,Optimized,MO,niles north high school,skokie,IL,3.22,2026,English,Computer Engineering,223,620,23,1,8,25,29,200,222,321,498,204,265,343,744,641,3
brispine1z,impactful,OK,north carolina school of science and mathematics,durham,NC,3.6,2026,Spanish,Psychology,530,304,16,11,23,9,2,589,615,736,310,702,335,640,452,573,2
mbleier20,leverage,AL,northside college preparatory high school,chicago,IL,3.25,2023,Computer Science,Creative Writing,744,430,5,27,4,31,21,793,502,557,713,568,731,377,531,677,4
strussman21,knowledge user,LA,oakton high school,vienna,VA,2.74,2022,Computer Science,Sociology,260,638,25,21,1,5,4,211,693,486,240,390,684,532,342,516,2
sceller22,didactic,NJ,otsego high school,otsego,MI,3.06,2023,Spanish,Computer Engineering,245,392,31,18,20,26,15,719,343,592,799,676,777,556,533,769,4
jballsdon23,Secured,MO,panther creek high school,cary,NC,3.34,2024,English,Sociology,323,295,1,1,5,17,32,514,574,262,457,253,517,411,227,731,10
bgoligher24,optimizing,NY,parish hill high school,chaplin,CT,3.86,2023,English,Creative Writing,362,708,31,9,18,4,10,327,205,536,705,444,414,343,391,385,10
spollastrone25,open system,CT,parkway central high school,chesterfield,MO,3.55,2023,Spanish,Sociology,216,698,25,15,29,36,33,521,356,716,721,768,255,520,244,453,3
bbousquet26,Automated,FL,pelham memorial high school,pelham,NY,3.71,2026,Spanish,Creative Writing,366,589,20,27,15,21,22,385,313,483,458,343,718,293,472,693,4
jlannon27,definition,AL,piedmont high school,piedmont,CA,3.48,2022,Computer Science,Creative Writing,336,446,28,35,3,7,10,588,468,703,415,402,331,460,497,550,0
gmolian28,Polarised,FL,providence high school,charlotte,NC,2.68,2025,Biology,Computer Engineering,622,363,10,1,10,35,27,669,238,270,517,569,488,419,774,673,3
gmattia29,Re-engineered,SC,radnor senior high school,radnor,PA,3.31,2023,English,Creative Writing,795,201,6,19,35,3,17,340,241,460,643,577,467,449,396,696,9
zsailes2a,reciprocal,AL,redwood high school,larkspur,CA,2.48,2026,English,Psychology,290,780,32,22,4,9,14,679,284,568,630,671,357,439,215,685,4
leddisford2b,User-friendly,TX,reedy high school,frisco,TX,3.36,2025,English,Sociology,435,562,36,17,25,8,31,598,599,720,509,607,459,348,559,636,7
tgerner2c,Persistent,CA,richard montgomery high school,rockville,MD,2.39,2024,Computer Science,Psychology,595,582,29,4,18,8,10,401,786,364,652,398,472,268,768,336,8
dloveless2d,intranet,OH,richland high school,north richland hills,TX,2.48,2023,Biology,Creative Writing,550,620,27,11,1,26,33,630,340,505,577,343,632,560,722,299,6
mpendlington2e,leverage,NY,ridgewood high school,ridgewood,NJ,3.47,2022,Mathematics,Creative Writing,483,578,29,15,34,13,35,524,756,307,768,446,363,223,348,513,7
lgeaney2f,3rd generation,DC,riverside stem academy,riverside,CA,3.51,2023,Biology,Psychology,259,301,19,25,8,6,24,574,558,306,501,384,217,599,723,785,5
bsenecaut2g,info-mediaries,MO,santa monica high school,santa monica,CA,3.14,2023,Biology,Psychology,535,663,28,7,14,9,28,695,229,528,527,424,483,264,213,484,4
rtanswill2h,Virtual,TX,south pointe high school,rock hill,SC,2.56,2025,Spanish,Psychology,509,447,9,32,10,32,14,541,769,632,788,542,291,367,385,688,5
msutcliffe2i,object-oriented,CA,south side high school,rockville centre,NY,2.53,2025,Biology,Sociology,291,473,12,5,27,6,3,738,415,513,587,214,677,496,479,338,3
ggoaley2j,Expanded,DC,staten island technical high school,staten island,NY,2.08,2022,Spanish,Psychology,409,289,11,14,28,24,29,694,464,740,711,600,793,744,786,491,2
cingham2k,matrix,CO,sterling high school,somerdale,NJ,2.58,2025,Biology,Sociology,653,346,14,13,9,16,14,458,212,620,409,712,563,559,556,314,7
ebispham2l,help-desk,FL,stone bridge high school,ashburn,VA,3.71,2025,Computer Science,Sociology,678,278,35,35,33,32,8,718,297,725,385,375,731,230,632,350,3
clampe2m,Intuitive,OH,sutton high school,sutton,MA,3.48,2024,Mathematics,Psychology,574,623,7,29,2,25,25,798,236,315,590,713,218,345,795,308,1
dmanilow2n,extranet,TX,the gatton academy,bowling green,KY,2.3,2025,Spanish,Sociology,394,648,26,2,17,29,28,780,712,329,651,789,380,436,675,373,10
ofreear2o,Cross-platform,OR,the mississippi school for mathematics and science,columbus,MS,2.98,2026,English,Creative Writing,655,218,36,26,14,5,24,542,767,655,314,678,572,344,442,700,5
iemmot2p,solution-oriented,VA,university high school,normal,IL,3.66,2023,Computer Science,Sociology,384,426,29,7,7,27,16,339,674,733,748,313,331,382,450,699,2
tissacson2q,methodology,IN,volcano vista high school,albuquerque,NM,3.29,2022,Spanish,Computer Engineering,254,639,20,30,28,28,34,758,781,263,654,372,538,599,626,685,2
cjeannel2r,Monitored,NC,walton high school,marietta,GA,3.0,2022,Spanish,Psychology,444,208,16,10,22,26,11,608,410,770,738,313,581,268,314,745,3
ghefferan2s,implementation,NJ,waubonsie valley high school,aurora,IL,2.28,2025,Computer Science,Sociology,722,371,26,35,6,6,21,442,309,673,410,777,554,646,202,206,0
asnaden2t,Function-based,IN,westlake academy,westlake,TX,2.58,2026,Biology,Sociology,582,779,26,3,34,25,35,544,791,694,637,248,577,298,411,354,6
ffauguel2u,disintermediate,FL,westlake high school,westlake village,CA,2.27,2025,Mathematics,Computer Engineering,447,341,18,24,1,23,8,631,744,754,307,229,761,627,235,634,3
gadamovitz2v,Enhanced,MI,westwood high school,austin,TX,2.85,2026,Computer Science,Psychology,233,511,20,24,1,32,30,595,658,550,617,687,605,281,773,616,8
jshilling2w,capacity,TX,whitefish bay high school,whitefish bay,WI,2.08,2026,Mathematics,Sociology,702,266,7,15,28,4,24,276,709,611,546,450,799,718,572,750,1
ihuxstep2x,Versatile,TX,whitney high school,cerritos,CA,3.53,2025,Spanish,Creative Writing,228,209,10,7,29,17,26,255,562,341,626,763,344,650,509,419,5
