userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
cmattiazzos,Integrated,NY,james madison high school,vienna,VA,3.89,2023,Computer Science,Computer Engineering,601,499,34,31,30,23,30,691,419,439,722,449,224,574,627,435,4
sfallt,Down-sized,GA,whitney high school,cerritos,CA,3.61,2024,English,Computer Engineering,526,213,3,14,22,32,5,775,404,369,789,450,276,443,203,345,8
mcooku,asynchronous,FL,brooklyn technical high school,brooklyn,NY,2.99,2022,Spanish,Creative Writing,523,576,21,27,2,17,29,677,597,493,553,701,230,569,725,585,6
asolesv,extranet,NY,academic magnet high school,north charleston,SC,3.62,2024,Biology,Sociology,485,776,12,36,10,6,29,510,313,572,528,462,450,585,627,257,9
ieatw,responsive,NH,academy for information technology,scotch plains,NJ,2.95,2022,English,Sociology,543,254,14,10,8,23,20,633,696,299,313,373,405,665,414,377,0
bmcdermotx,Stand-alone,CA,james madison high school,vienna,VA,2.36,2026,English,Computer Engineering,202,491,13,24,21,11,14,600,422,758,600,362,721,432,487,396,4
hhallagany,benchmark,IL,whitney high school,cerritos,CA,2.07,2026,Biology,Sociology,562,246,15,27,9,21,6,771,489,369,200,295,415,549,390,705,6
aroddz,modular,NJ,brooklyn technical high school,brooklyn,NY,3.36,2026,Mathematics,Computer Engineering,269,214,33,11,33,29,11,659,432,528,341,722,479,640,718,215,1
aelverstone10,Open-architected,OH,academic magnet high school,north charleston,SC,2.71,2026,Spanish,Computer Engineering,326,595,32,25,19,4,3,723,401,591,576,213,788,575,257,313,4
jgaythorpe11,Cross-group,CA,academy for information technology,scotch plains,NJ,2.95,2022,Computer Science,Psychology,497,656,3,32,4,31,19,653,671,238,341,753,738,358,518,364,6
mdik12,24/7,TX,james madison high school,vienna,VA,3.03,2024,English,Psychology,255,293,16,33,7,22,23,414,578,270,790,521,406,409,213,617,3
lcrocetti13,Decentralized,CA,whitney high school,cerritos,CA,2.13,2026,Spanish,Creative Writing,666,418,21,5,7,8,36,461,780,334,636,728,383,685,219,314,2
brymour14,Expanded,TX,brooklyn technical high school,brooklyn,NY,3.66,2024,English,Creative Writing,218,267,12,18,35,3,16,729,282,352,770,400,595,725,627,416,1
mrulten15,model,PA,academic magnet high school,north charleston,SC,3.23,2022,English,Psychology,625,226,1,31,27,16,8,736,319,226,403,721,571,353,753,541,7
tpulford16,Team-oriented,SC,academy for information technology,scotch plains,NJ,3.94,2024,Mathematics,Computer Engineering,224,256,28,1,14,21,32,750,653,362,577,303,726,280,280,369,5
hrichens17,Pre-emptive,AR,james madison high school,vienna,VA,3.92,2026,Spanish,Sociology,454,202,10,11,29,18,3,738,330,430,541,272,615,672,780,219,8
vkildale18,customer loyalty,WI,whitney high school,cerritos,CA,3.85,2023,Spanish,Creative Writing,387,605,29,4,23,36,8,286,215,619,562,305,275,533,695,238,1
vmcinulty19,Managed,CO,brooklyn technical high school,brooklyn,NY,3.88,2022,Mathematics,Psychology,276,234,28,10,36,28,26,713,590,348,594,429,305,246,385,429,5
misac1a,Total,TX,academic magnet high school,north charleston,SC,3.8,2026,Spanish,Psychology,762,706,3,1,8,1,11,594,731,265,594,624,400,523,635,253,5
balu1b,hybrid,IN,academy for information technology,scotch plains,NJ,3.16,2023,Spanish,Computer Engineering,642,318,6,32,12,5,16,522,778,609,293,284,304,315,451,531,4
gtilby1c,challenge,CA,james madison high school,vienna,VA,2.25,2026,Spanish,Sociology,757,606,25,3,3,5,32,205,253,753,240,378,323,726,351,779,4
mholehouse1d,hierarchy,AL,whitney high school,cerritos,CA,3.65,2023,Spanish,Computer Engineering,359,208,20,11,26,33,24,799,592,292,782,423,246,206,340,442,2
hternent1e,methodology,AZ,brooklyn technical high school,brooklyn,NY,3.11,2024,Computer Science,Sociology,480,428,8,21,35,36,17,614,762,689,372,407,319,741,372,359,0
dvanderkruijs1f,functionalities,FL,academic magnet high school,north charleston,SC,2.92,2024,Computer Science,Computer Engineering,542,237,13,25,30,31,12,420,645,575,327,271,270,773,693,682,1
mdeguara1g,logistical,IA,academy for information technology,scotch plains,NJ,2.61,2023,Spanish,Creative Writing,639,627,1,17,27,3,6,272,774,373,435,707,266,216,551,323,0
cbockler1h,3rd generation,OH,james madison high school,vienna,VA,2.94,2026,English,Psychology,436,229,3,22,13,30,15,690,272,443,640,285,221,252,528,764,8
astronge1i,Profit-focused,NJ,whitney high school,cerritos,CA,3.65,2025,Computer Science,Sociology,238,641,34,36,3,35,27,351,284,225,377,738,488,449,513,571,9
rcorrett1j,uniform,CA,brooklyn technical high school,brooklyn,NY,3.85,2024,Mathematics,Creative Writing,567,636,28,10,36,17,28,563,618,228,717,570,491,534,441,296,5
crivett1k,Down-sized,NC,academic magnet high school,north charleston,SC,3.52,2025,Computer Science,Psychology,237,793,10,36,5,29,29,353,730,795,478,269,455,405,729,410,10
agage1l,even-keeled,TX,academy for information technology,scotch plains,NJ,3.59,2026,Mathematics,Sociology,740,341,29,19,1,33,16,433,742,523,436,422,534,720,776,695,2
cbertwistle1m,Versatile,WI,james madison high school,vienna,VA,3.06,2023,Biology,Computer Engineering,707,333,36,20,18,16,32,697,725,283,549,584,466,716,483,643,4
tcoggins1n,Centralized,UT,whitney high school,cerritos,CA,3.26,2022,Mathematics,Computer Engineering,367,323,3,20,7,20,32,333,469,451,416,330,224,570,231,501,3
ethieme1o,Devolved,NY,brooklyn technical high school,brooklyn,NY,2.99,2022,English,Psychology,611,447,22,25,24,7,14,368,247,629,601,569,586,674,510,404,6
jstrickland1p,Expanded,GA,academic magnet high school,north charleston,SC,3.36,2023,English,Psychology,781,490,29,8,19,16,12,422,724,414,613,707,572,664,679,749,8
bbignall1q,holistic,TN,academy for information technology,scotch plains,NJ,3.81,2022,Spanish,Sociology,360,205,9,24,3,28,1,730,402,436,657,757,771,560,269,421,0
abartoletti1r,middleware,CA,james madison high school,vienna,VA,3.24,2025,Spanish,Computer Engineering,434,300,5,5,28,23,12,374,779,353,610,691,651,653,660,741,1
rbyford1s,Compatible,NY,whitney high school,cerritos,CA,3.8,2022,Computer Science,Computer Engineering,617,400,5,28,15,10,8,728,424,441,471,420,497,551,757,618,8
ghaizelden1t,Devolved,NV,brooklyn technical high school,brooklyn,NY,2.93,2022,English,Psychology,428,329,24,7,31,31,18,464,278,676,567,682,383,312,371,368,3
fravel1u,stable,NC,academic magnet high school,north charleston,SC,2.34,2026,Computer Science,Computer Engineering,356,794,18,17,25,26,30,288,580,423,612,335,224,499,271,593,4
scannop1v,global,CA,academy for information technology,scotch plains,NJ,2.24,2024,Computer Science,Psychology,218,331,30,13,19,17,7,531,271,459,328,579,565,371,578,215,3
glearman1w,Inverse,CA,james madison high school,vienna,VA,2.08,2024,Computer Science,Psychology,274,301,12,8,5,24,33,655,327,652,303,732,513,313,760,540,9
lnaseby1x,ability,MA,whitney high school,cerritos,CA,2.62,2023,Mathematics,Creative Writing,452,256,20,1,1,22,12,533,290,594,615,573,354,647,344,456,3
jleetham1y,Multi-lateral,FL,brooklyn technical high school,brooklyn,NY,2.76,2024,Spanish,Psychology,549,421,35,33,14,33,20,678,233,693,617,767,669,502,753,670,4
mburnsyde1z,Reverse-engineered,FL,academic magnet high school,north charleston,SC,3.93,2023,Biology,Psychology,703,541,32,28,11,23,29,210,243,464,239,314,670,238,222,641,6
jgrinov20,Multi-layered,TX,academy for information technology,scotch plains,NJ,3.66,2025,Spanish,Creative Writing,655,693,29,25,26,7,10,717,577,596,613,473,212,225,266,611,3
samthor21,intermediate,PA,james madison high school,vienna,VA,3.91,2024,Spanish,Creative Writing,519,632,1,4,18,22,11,459,607,375,415,584,322,789,251,451,0
cbolesworth22,standardization,TX,whitney high school,cerritos,CA,2.85,2026,English,Computer Engineering,588,322,28,18,3,23,12,508,516,249,234,554,700,201,437,274,1
hfallow23,Visionary,NC,brooklyn technical high school,brooklyn,NY,3.6,2024,Mathematics,Computer Engineering,285,327,2,17,20,1,22,418,650,677,272,684,491,742,548,533,4
ddunks24,moratorium,VA,academic magnet high school,north charleston,SC,2.6,2025,Spanish,Sociology,554,502,9,18,1,29,20,770,742,203,650,464,734,508,629,430,10
dcurston25,Inverse,TX,academy for information technology,scotch plains,NJ,2.88,2025,Biology,Psychology,295,561,35,15,30,26,14,702,542,613,206,687,507,323,771,311,5
mrickert26,system-worthy,OH,james madison high school,vienna,VA,2.71,2022,Computer Science,Computer Engineering,681,317,15,28,3,31,9,691,701,431,556,549,794,617,500,574,9
jcrates27,even-keeled,AL,whitney high school,cerritos,CA,2.92,2026,Computer Science,Sociology,307,624,6,12,15,33,26,396,551,764,762,646,648,643,348,311,10
nbattson28,Ameliorated,AL,brooklyn technical high school,brooklyn,NY,3.23,2022,Biology,Psychology,200,340,20,6,18,18,13,497,602,736,484,633,747,542,758,536,4
tjouhning29,6th generation,TX,academic magnet high school,north charleston,SC,3.37,2023,English,Sociology,215,219,23,25,21,10,17,209,659,751,479,270,255,547,304,595,1
volyff2a,archive,CA,academy for information technology,scotch plains,NJ,3.12,2025,Spanish,Creative Writing,259,213,17,11,9,7,34,525,468,383,224,295,331,553,385,256,2
rwiles2b,value-added,FL,james madison high school,vienna,VA,2.29,2025,English,Psychology,454,736,29,26,33,16,24,227,521,616,285,227,326,703,267,635,4
fgrassi2c,product,VA,whitney high school,cerritos,CA,2.69,2026,Mathematics,Creative Writing,530,246,24,8,4,9,13,732,502,478,284,361,789,696,796,469,1
jpyle2d,Managed,KY,brooklyn technical high school,brooklyn,NY,2.52,2025,Biology,Creative Writing,534,751,12,3,1,23,10,387,637,475,285,522,639,596,669,258,3
fmoresby2e,Profit-focused,NM,academic magnet high school,north charleston,SC,3.9,2026,Mathematics,Psychology,747,590,1,10,25,21,32,576,367,239,545,630,335,448,413,217,2
cstickens2f,attitude-oriented,AL,academy for information technology,scotch plains,NJ,2.09,2025,Computer Science,Sociology,330,612,20,16,29,7,33,476,365,684,409,211,434,521,278,389,9
bbush2g,Compatible,FL,james madison high school,vienna,VA,3.11,2024,Mathematics,Computer Engineering,347,615,19,36,19,21,33,286,245,530,770,328,682,532,646,336,10
ehartin2h,Persevering,VA,whitney high school,cerritos,CA,2.32,2026,Computer Science,Sociology,633,347,3,15,3,6,12,777,408,410,250,776,610,750,287,679,3
mdoick2i,Managed,FL,brooklyn technical high school,brooklyn,NY,3.67,2023,Biology,Creative Writing,497,544,29,36,16,22,26,428,491,743,621,285,282,647,596,678,0
elowde2j,success,CT,academic magnet high school,north charleston,SC,3.47,2023,English,Psychology,312,719,13,31,2,21,5,708,417,579,587,382,216,791,778,276,5
acottu2k,Graphical User Interface,WA,academy for information technology,scotch plains,NJ,3.72,2023,Biology,Creative Writing,200,624,15,24,34,7,34,455,278,395,289,265,525,242,716,472,0
kbettleson2l,tangible,CT,james madison high school,vienna,VA,3.46,2023,Mathematics,Psychology,642,346,26,18,21,13,36,604,246,702,715,466,388,551,680,519,9
ddelagua2m,Enterprise-wide,PA,whitney high school,cerritos,CA,2.05,2025,Mathematics,Creative Writing,573,435,6,1,34,11,20,360,314,684,335,288,684,348,435,225,0
abraams2n,systematic,IL,brooklyn technical high school,brooklyn,NY,2.28,2025,Spanish,Creative Writing,598,496,11,11,27,13,8,265,424,643,479,308,454,422,202,520,10
kadshad2o,foreground,FL,academic magnet high school,north charleston,SC,3.84,2024,Biology,Sociology,657,443,19,34,29,2,13,423,519,538,244,632,413,454,795,423,1
ldomnin2p,encryption,WI,academy for information technology,scotch plains,NJ,2.61,2023,Mathematics,Computer Engineering,315,237,34,19,26,18,14,483,515,260,319,619,568,467,478,245,4
jhalfhead2q,orchestration,MI,james madison high school,vienna,VA,3.66,2023,Mathematics,Psychology,572,423,10,7,25,29,8,455,776,516,748,788,603,768,524,641,7
srickcord2r,Customer-focused,PA,whitney high school,cerritos,CA,2.0,2026,Biology,Computer Engineering,423,228,9,35,4,11,24,707,447,345,511,338,226,445,747,502,3
