userid,password,residence_state,high_school_name,high_school_city,high_school_state,GPA,college_class,major_1,major_2,SAT_math,SAT_EBRW,ACT_English,ACT_math,ACT_reading,ACT_science,ACT_composite,SAT_literature,SAT_US_hist,SAT_world_hist,SAT_math_I,SAT_math_II,SAT_eco_bio,SAT_mol_bio,SAT_chemistry,SAT_physics,num_AP_passed
slanfranchi1n,moderator,TX,whitney high school,cerritos,CA,3.09,2022,Biology,Computer Engineering,450,722,35,11,3,26,36,348,761,334,685,239,703,630,309,530,0
tswannie1o,radical,KS,brooklyn technical high school,brooklyn,NY,2.46,2024,Biology,Computer Engineering,216,754,9,34,11,17,17,416,679,697,737,530,581,642,338,292,6
tkiebes1p,time-frame,AZ,academic magnet high school,north charleston,SC,3.88,2024,Computer Science,Sociology,533,513,10,27,7,6,5,310,611,512,710,226,732,745,255,286,10
atilne1q,Operative,OH,academy for information technology,scotch plains,NJ,3.25,2024,Computer Science,Creative Writing,366,493,27,7,17,1,31,269,666,310,708,533,720,785,358,410,9
kroust1r,project,IA,james madison high school,vienna,VA,3.13,2026,English,Computer Engineering,284,357,12,6,1,8,20,389,303,616,477,248,253,715,471,241,2
istenner1s,Total,OH,whitney high school,cerritos,CA,3.27,2023,Mathematics,Computer Engineering,655,569,6,8,27,36,21,586,338,452,222,259,487,654,729,770,3
wbierton1t,throughput,FL,brooklyn technical high school,brooklyn,NY,3.66,2023,Biology,Psychology,238,483,20,23,26,5,26,299,322,211,517,796,735,435,333,283,5
cneighbour1u,impactful,VA,academic magnet high school,north charleston,SC,2.02,2026,English,Creative Writing,708,223,35,33,2,1,23,222,536,277,498,751,697,459,575,425,4
tscala1v,Stand-alone,NY,academy for information technology,scotch plains,NJ,3.97,2023,Biology,Computer Engineering,647,542,3,36,22,16,27,472,740,767,712,699,753,763,783,773,6
phammersley1w,eco-centric,FL,james madison high school,vienna,VA,3.52,2025,Computer Science,Psychology,566,320,3,16,11,5,28,431,443,472,696,677,735,490,795,466,0
klinfoot1x,approach,NM,whitney high school,cerritos,CA,3.62,2026,Biology,Computer Engineering,563,596,10,2,21,28,27,443,662,543,502,768,218,669,736,322,8
cguidotti1y,client-server,CA,brooklyn technical high school,brooklyn,NY,3.12,2023,Biology,Computer Engineering,510,571,27,1,13,36,30,482,661,376,361,631,570,473,411,766,3
mmaccaughen1z,object-oriented,CA,academic magnet high school,north charleston,SC,3.32,2022,Biology,Creative Writing,227,285,35,21,27,31,6,580,302,464,536,314,706,360,233,336,3
rcroney20,heuristic,CA,academy for information technology,scotch plains,NJ,2.12,2022,Computer Science,Sociology,482,425,4,21,17,29,21,779,380,207,617,279,694,683,448,754,8
knurse21,Programmable,CA,james madison high school,vienna,VA,2.74,2023,Mathematics,Computer Engineering,713,339,25,28,8,26,27,748,518,476,429,323,375,406,639,753,7
itousey22,Reduced,AZ,whitney high school,cerritos,CA,2.78,2026,Spanish,Psychology,748,725,36,32,26,26,14,406,730,506,246,528,472,677,360,772,6
csidnell23,6th generation,GA,brooklyn technical high school,brooklyn,NY,3.04,2024,Computer Science,Computer Engineering,395,757,36,35,10,15,27,566,226,557,309,384,673,427,214,590,6
mdow24,Up-sized,CA,academic magnet high school,north charleston,SC,2.34,2023,Biology,Computer Engineering,597,263,26,30,14,5,13,501,376,245,377,206,548,207,788,384,7
mprimett25,Diverse,NY,academy for information technology,scotch plains,NJ,3.45,2025,Computer Science,Sociology,473,257,11,5,33,26,26,601,500,731,360,424,799,731,531,254,9
tstiggles26,functionalities,NV,james madison high school,vienna,VA,3.49,2022,Mathematics,Psychology,425,743,5,28,22,1,15,699,503,711,354,480,620,668,659,673,2
ftrott27,De-engineered,IA,whitney high school,cerritos,CA,3.05,2025,English,Creative Writing,251,287,28,10,29,17,18,419,330,347,282,339,491,430,401,670,3
rvonsalzberg28,Polarised,NY,brooklyn technical high school,brooklyn,NY,3.22,2024,Spanish,Sociology,679,231,3,1,35,35,11,372,585,722,634,548,502,733,435,255,5
cblackborough29,conglomeration,CT,academic magnet high school,north charleston,SC,2.2,2022,Computer Science,Creative Writing,461,267,25,7,8,30,31,662,305,692,217,317,652,700,450,564,10
slapsley2a,multi-state,NJ,academy for information technology,scotch plains,NJ,2.68,2025,Computer Science,Psychology,433,398,5,34,31,8,28,277,778,202,689,583,641,382,527,326,3
kaggas2b,regional,CA,james madison high school,vienna,VA,3.03,2024,Mathematics,Creative Writing,640,677,4,17,16,12,3,784,698,446,461,231,733,736,641,291,9
geady2c,Digitized,AL,whitney high school,cerritos,CA,2.56,2023,Biology,Creative Writing,674,494,5,5,15,34,31,645,629,231,205,456,214,559,295,603,2
ewaller2d,Re-contextualized,DC,brooklyn technical high school,brooklyn,NY,3.53,2025,English,Psychology,525,688,22,34,23,31,10,652,779,648,297,779,209,209,496,547,1
spenk2e,full-range,MA,academic magnet high school,north charleston,SC,3.79,2024,Spanish,Creative Writing,622,514,31,30,33,3,26,340,435,369,396,443,792,479,451,277,6
ftomlinson2f,extranet,IL,academy for information technology,scotch plains,NJ,3.45,2026,Spanish,Computer Engineering,428,582,19,32,6,6,5,777,275,708,425,318,592,684,434,691,10
bphayre2g,Vision-oriented,WA,james madison high school,vienna,VA,2.04,2022,Computer Science,Sociology,776,275,3,19,28,1,30,388,246,318,480,733,581,427,676,631,3
sbanaszczyk2h,Pre-emptive,IN,whitney high school,cerritos,CA,2.11,2025,English,Psychology,301,300,20,18,20,28,21,747,225,400,378,248,637,553,300,220,1
hpattesall2i,heuristic,WI,brooklyn technical high school,brooklyn,NY,3.8,2023,Computer Science,Computer Engineering,764,271,34,9,5,20,19,237,418,399,483,597,475,371,697,567,7
ralennikov2j,stable,OH,academic magnet high school,north charleston,SC,2.55,2026,Computer Science,Sociology,667,699,29,30,7,9,28,608,412,554,618,505,526,491,258,251,0
olabdon2k,product,TX,academy for information technology,scotch plains,NJ,2.75,2022,English,Sociology,297,268,33,18,36,1,32,728,664,460,342,511,622,238,548,239,5
cmackeeg2l,budgetary management,CA,james madison high school,vienna,VA,2.31,2022,Biology,Creative Writing,227,248,2,14,2,3,36,568,309,567,371,369,720,426,430,212,3
loreilly2m,real-time,DC,whitney high school,cerritos,CA,2.33,2025,Spanish,Creative Writing,353,554,36,21,6,32,2,355,604,537,795,648,263,597,478,641,4
jyelding2n,architecture,TX,brooklyn technical high school,brooklyn,NY,2.63,2024,Spanish,Psychology,703,629,14,23,3,34,18,517,621,561,358,238,332,314,230,766,2
bludlow2o,Triple-buffered,CA,academic magnet high school,north charleston,SC,3.74,2024,Computer Science,Psychology,266,324,23,25,26,14,19,563,203,228,762,682,744,743,690,581,8
eaviss2p,help-desk,IN,academy for information technology,scotch plains,NJ,3.58,2025,Biology,Psychology,321,433,16,28,3,31,34,659,262,761,606,580,652,709,539,334,2
eivanikov2q,Diverse,WA,james madison high school,vienna,VA,2.11,2022,English,Sociology,768,290,15,34,7,35,5,762,588,327,648,592,702,429,350,333,9
rclericoates2r,Expanded,TN,whitney high school,cerritos,CA,3.52,2022,Biology,Computer Engineering,551,385,26,16,8,24,23,383,739,713,736,643,691,633,455,622,6
dfrancesch2s,Stand-alone,CA,brooklyn technical high school,brooklyn,NY,2.82,2022,Computer Science,Creative Writing,738,416,8,14,3,12,10,437,306,376,777,594,735,295,584,420,4
ageffcock2t,solution,MD,academic magnet high school,north charleston,SC,3.27,2024,Biology,Computer Engineering,291,437,25,10,21,29,22,778,215,640,612,269,404,210,335,545,8
lschohier2u,multimedia,DC,academy for information technology,scotch plains,NJ,3.54,2024,Computer Science,Creative Writing,778,403,17,36,28,34,36,618,409,780,353,560,468,342,614,644,7
wgiabucci2v,interactive,SC,james madison high school,vienna,VA,2.03,2023,Computer Science,Sociology,413,538,4,1,25,17,36,557,567,492,212,716,468,493,704,749,9
wtitmuss2w,Networked,CA,whitney high school,cerritos,CA,3.3,2022,English,Psychology,243,666,30,31,28,21,36,421,684,290,795,325,294,585,372,254,6
mnucator2x,Quality-focused,DC,brooklyn technical high school,brooklyn,NY,2.55,2022,English,Computer Engineering,663,234,33,7,9,26,14,590,769,437,656,219,514,338,250,342,7
cdurgan2y,moratorium,LA,academic magnet high school,north charleston,SC,3.38,2026,Biology,Computer Engineering,620,692,27,3,15,14,13,595,272,203,217,422,676,663,344,355,1
kcotter2z,project,FL,academy for information technology,scotch plains,NJ,3.39,2025,Computer Science,Creative Writing,756,645,17,33,27,10,4,320,598,518,761,551,388,556,304,791,5
fhordle30,clear-thinking,MO,james madison high school,vienna,VA,2.53,2025,Mathematics,Creative Writing,565,665,19,15,25,32,24,644,776,515,447,614,319,749,558,210,9
lenzley31,cohesive,DC,whitney high school,cerritos,CA,2.96,2023,Computer Science,Creative Writing,560,215,35,18,7,5,20,477,201,461,615,252,252,465,294,554,5
gdundendale32,human-resource,FL,brooklyn technical high school,brooklyn,NY,3.03,2026,Computer Science,Computer Engineering,268,732,9,33,21,28,16,653,672,569,237,579,306,429,208,641,5
kvolkers33,archive,FL,academic magnet high school,north charleston,SC,2.65,2026,Biology,Psychology,695,782,28,10,9,15,21,320,686,289,634,420,647,267,568,290,7
bcroughan34,Synchronised,TX,academy for information technology,scotch plains,NJ,2.13,2025,Mathematics,Psychology,589,626,2,1,19,25,19,710,736,522,460,277,457,722,665,472,5
ggroom35,homogeneous,MN,james madison high school,vienna,VA,2.38,2023,Spanish,Sociology,395,685,34,17,13,23,18,428,502,750,511,577,214,736,381,754,10
bocheltree36,Streamlined,MS,whitney high school,cerritos,CA,2.25,2024,Spanish,Sociology,473,517,21,13,26,34,10,648,289,435,731,572,315,682,462,521,0
ttoppes37,Multi-tiered,TX,brooklyn technical high school,brooklyn,NY,2.24,2026,English,Creative Writing,780,506,1,20,13,22,18,398,227,232,486,363,315,371,443,394,1
gshambroke38,Programmable,DC,academic magnet high school,north charleston,SC,3.67,2024,Computer Science,Creative Writing,344,705,9,25,1,35,25,273,780,405,706,588,700,761,751,648,7
rboothroyd39,zero administration,CA,academy for information technology,scotch plains,NJ,2.67,2022,English,Sociology,689,426,8,9,1,22,23,650,446,361,313,532,775,722,350,547,5
cmarfe3a,Re-contextualized,MO,james madison high school,vienna,VA,2.91,2023,English,Sociology,707,254,4,14,29,7,32,577,563,284,704,445,350,509,276,574,8
vheigl3b,clear-thinking,TX,whitney high school,cerritos,CA,3.3,2023,English,Psychology,299,284,13,31,14,26,26,601,585,249,577,637,212,729,224,221,1
sstaner3c,Enterprise-wide,IL,brooklyn technical high school,brooklyn,NY,2.52,2022,Biology,Sociology,428,306,31,26,2,6,7,439,498,431,495,269,461,635,449,736,7
awilprecht3d,static,NE,academic magnet high school,north charleston,SC,3.41,2025,Biology,Computer Engineering,587,556,15,20,6,4,17,307,435,383,645,460,514,671,558,797,7
khodgin3e,encompassing,OH,academy for information technology,scotch plains,NJ,2.97,2023,Biology,Computer Engineering,208,757,34,26,29,2,29,570,611,606,610,750,232,691,631,544,4
enutting3f,customer loyalty,FL,james madison high school,vienna,VA,2.12,2022,Spanish,Psychology,252,674,11,31,5,13,5,504,427,453,233,368,200,685,250,552,5
xbrum3g,Organic,NV,whitney high school,cerritos,CA,2.68,2024,English,Psychology,333,567,21,4,36,20,29,213,231,411,324,594,437,747,744,376,9
smccullock3h,grid-enabled,IA,brooklyn technical high school,brooklyn,NY,2.63,2023,Spanish,Creative Writing,679,325,11,21,2,7,12,418,258,532,529,277,384,529,658,349,6
flummasana3i,Optional,TX,academic magnet high school,north charleston,SC,3.95,2025,Mathematics,Computer Engineering,355,316,35,31,15,21,27,231,355,340,617,286,268,246,689,315,1
cgiddy3j,Customer-focused,CA,academy for information technology,scotch plains,NJ,3.63,2023,Spanish,Creative Writing,422,709,6,3,14,30,17,534,586,625,557,421,493,770,283,250,3
jtipler3k,Persistent,CA,james madison high school,vienna,VA,3.97,2026,Spanish,Psychology,240,644,9,33,20,34,16,622,236,746,698,388,696,766,454,798,7
lsouthby3l,Open-architected,DE,whitney high school,cerritos,CA,3.48,2023,English,Creative Writing,690,788,34,26,34,1,1,566,253,694,297,630,646,632,426,582,5
piveagh3m,concept,PA,brooklyn technical high school,brooklyn,NY,2.7,2026,English,Creative Writing,547,385,21,13,5,34,11,747,396,733,438,662,333,212,644,718,1
pridding3n,Grass-roots,TX,academic magnet high school,north charleston,SC,2.17,2023,Mathematics,Psychology,341,314,13,36,4,25,12,477,693,328,692,485,793,254,731,252,10
kdaubney3o,incremental,NY,academy for information technology,scotch plains,NJ,3.61,2022,English,Creative Writing,776,532,17,29,35,15,9,412,462,773,252,471,304,629,614,220,5
graith3p,radical,TX,james madison high school,vienna,VA,3.81,2025,Computer Science,Psychology,421,544,2,26,2,1,34,467,547,602,351,664,267,787,602,605,1
rtolhurst3q,strategy,VA,whitney high school,cerritos,CA,2.27,2026,English,Computer Engineering,613,311,6,35,23,14,15,797,530,414,723,435,343,397,450,220,1
sdifranceshci3r,discrete,CA,brooklyn technical high school,brooklyn,NY,3.92,2026,Spanish,Sociology,685,505,25,9,26,21,17,682,330,791,538,617,674,710,502,316,8
ibartholomew3s,Phased,CA,academic magnet high school,north charleston,SC,2.13,2026,Biology,Computer Engineering,216,326,19,18,27,14,31,787,788,206,203,513,606,546,420,595,5
dringsell3t,object-oriented,IA,academy for information technology,scotch plains,NJ,3.18,2025,Computer Science,Sociology,239,766,8,8,8,31,32,484,224,609,777,563,623,369,739,427,8
bbute3u,hub,IN,james madison high school,vienna,VA,3.43,2025,English,Psychology,753,725,31,28,13,3,20,460,365,386,411,629,263,272,778,275,4
pgotch3v,intangible,FL,whitney high school,cerritos,CA,2.68,2025,Computer Science,Sociology,449,466,9,28,12,30,27,672,768,493,222,354,414,688,446,654,5
dgladdis3w,User-friendly,MD,brooklyn technical high school,brooklyn,NY,3.07,2025,Biology,Sociology,261,255,36,9,11,1,6,600,222,539,622,648,229,330,546,502,8
avanderbaaren3x,protocol,MN,academic magnet high school,north charleston,SC,2.31,2026,English,Sociology,661,570,35,32,25,28,26,422,537,536,625,509,551,789,502,660,6
sturley3y,Optional,PA,academy for information technology,scotch plains,NJ,2.25,2022,Mathematics,Sociology,645,359,3,7,17,28,10,268,581,440,465,585,353,717,603,299,4
jschneidar3z,circuit,TX,james madison high school,vienna,VA,3.88,2025,Biology,Sociology,217,539,2,31,14,7,3,597,218,490,633,489,221,788,319,346,10
hwakeford40,mission-critical,NC,whitney high school,cerritos,CA,3.18,2022,Spanish,Sociology,534,446,20,12,12,34,28,645,760,636,608,447,612,210,781,606,1
jcursons41,actuating,NV,brooklyn technical high school,brooklyn,NY,2.77,2025,Spanish,Sociology,660,593,9,10,21,21,29,651,248,643,231,318,413,695,241,535,8
wmetzing42,cohesive,KY,academic magnet high school,north charleston,SC,2.45,2026,Computer Science,Creative Writing,239,599,30,9,11,14,2,416,783,785,448,704,383,413,549,473,7
rchevolleau43,Grass-roots,CA,academy for information technology,scotch plains,NJ,2.56,2022,Biology,Creative Writing,496,677,35,31,1,28,21,231,757,241,429,499,573,696,357,301,2
lmcpike44,hub,WA,james madison high school,vienna,VA,3.8,2023,English,Creative Writing,797,335,18,15,14,33,2,428,709,412,466,210,538,325,474,327,1
alauder45,needs-based,TN,whitney high school,cerritos,CA,2.29,2025,Computer Science,Psychology,365,627,22,9,16,3,31,259,265,675,379,630,760,699,539,399,10
rclemmey46,non-volatile,FL,brooklyn technical high school,brooklyn,NY,2.9,2023,English,Computer Engineering,527,567,6,8,28,7,20,699,488,212,247,707,649,210,457,771,8
bgunderson47,Object-based,LA,academic magnet high school,north charleston,SC,2.61,2025,Computer Science,Creative Writing,336,458,35,36,5,7,31,234,688,734,585,662,242,504,267,274,4
lfateley48,strategy,DC,academy for information technology,scotch plains,NJ,2.86,2024,Computer Science,Psychology,737,700,9,3,11,32,22,509,696,766,717,698,612,749,545,710,2
jcolquyte49,methodology,TX,james madison high school,vienna,VA,2.41,2024,Computer Science,Creative Writing,214,613,28,32,1,27,33,415,597,496,530,341,443,575,321,409,6
eolensby4a,secured line,TX,whitney high school,cerritos,CA,3.06,2023,English,Computer Engineering,366,594,19,11,2,23,13,457,630,358,662,328,639,323,499,675,3
pvanderbaaren4b,national,NC,brooklyn technical high school,brooklyn,NY,2.52,2023,Mathematics,Computer Engineering,658,630,26,16,19,27,23,461,647,322,568,672,727,676,258,791,7
ggrissett4c,Secured,TX,academic magnet high school,north charleston,SC,3.4,2025,Mathematics,Psychology,251,393,36,23,9,23,22,579,544,721,565,275,237,313,504,385,0
dvockings4d,maximized,CA,academy for information technology,scotch plains,NJ,2.89,2026,Computer Science,Sociology,215,392,1,23,7,9,36,274,400,679,213,238,402,438,463,635,5
fdulinty4e,Right-sized,NY,james madison high school,vienna,VA,2.96,2026,Mathematics,Computer Engineering,660,501,18,13,8,35,34,469,246,447,473,587,459,381,630,755,7
lritson4f,Fully-configurable,GA,whitney high school,cerritos,CA,3.61,2024,Mathematics,Computer Engineering,539,715,17,14,33,22,5,509,720,476,220,634,217,586,223,468,4
llindholm4g,Switchable,OH,brooklyn technical high school,brooklyn,NY,3.0,2022,Biology,Sociology,286,525,34,35,23,23,33,539,552,225,323,766,276,627,242,580,6
mjentzsch4h,model,TX,academic magnet high school,north charleston,SC,3.04,2025,Spanish,Sociology,783,220,16,15,1,5,3,752,577,553,574,452,473,271,254,722,9
cerasmus4i,paradigm,NE,academy for information technology,scotch plains,NJ,3.73,2025,English,Sociology,204,454,35,6,26,22,6,231,390,313,733,720,328,260,400,658,1
breeve4j,software,AL,james madison high school,vienna,VA,2.24,2022,English,Creative Writing,322,447,26,14,23,9,26,249,525,272,228,371,500,231,462,765,1
